date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:23:34	198466/198466	---M--	200	added ('OK')	image/png	etag:%2230742-60d7da926bef7%22	https://freshmart-plc.co.uk/wp-content/uploads/2023/12/Freshmart_Logo.png	C:/My%20Web%20Sites/https___freshmart-plc.co.uk_/freshmart-plc.co.uk/wp-content/uploads/2023/12/Freshmart_Logo.png	(from https://freshmart-plc.co.uk/)
15:23:34	198466/198466	---M--	200	added ('OK')	image/png	etag:%2230742-60db30e6e2dd5%22	https://freshmart-plc.co.uk/wp-content/uploads/2023/12/Freshmart_Logo-1.png	C:/My%20Web%20Sites/https___freshmart-plc.co.uk_/freshmart-plc.co.uk/wp-content/uploads/2023/12/Freshmart_Logo-1.png	(from https://freshmart-plc.co.uk/)
15:23:34	66482/66482	---M--	200	added ('OK')	image/webp	etag:%22103b2-606e6f8c26c80%22	https://freshmart-plc.co.uk/wp-content/themes/twentytwentyfour/assets/images/tourist-and-building.webp	C:/My%20Web%20Sites/https___freshmart-plc.co.uk_/freshmart-plc.co.uk/wp-content/themes/twentytwentyfour/assets/images/tourist-and-building.webp	(from https://freshmart-plc.co.uk/)
15:23:34	74802/74802	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Mar%202024%2020:23:27%20GMT	https://freshmart-plc.co.uk/about-freshmart-plc/	C:/My%20Web%20Sites/https___freshmart-plc.co.uk_/freshmart-plc.co.uk/about-freshmart-plc/index.html	(from https://freshmart-plc.co.uk/)
15:23:34	126244/126244	---M--	200	added ('OK')	image/webp	etag:%221ed24-606e6f8c26c80%22	https://freshmart-plc.co.uk/wp-content/themes/twentytwentyfour/assets/images/windows.webp	C:/My%20Web%20Sites/https___freshmart-plc.co.uk_/freshmart-plc.co.uk/wp-content/themes/twentytwentyfour/assets/images/windows.webp	(from https://freshmart-plc.co.uk/)
15:23:38	134/134	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2010%20Mar%202024%2020:23:28%20GMT	http://code.tidio.co/hu78z4ux96t9bmnxf1rn4tq8glnnoq2q.js	C:/My%20Web%20Sites/https___freshmart-plc.co.uk_/code.tidio.co/hu78z4ux96t9bmnxf1rn4tq8glnnoq2q.10.delayed	(from https://freshmart-plc.co.uk/)
15:23:38	80647/80647	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Mar%202024%2020:23:28%20GMT	https://freshmart-plc.co.uk/meet-our-team/	C:/My%20Web%20Sites/https___freshmart-plc.co.uk_/freshmart-plc.co.uk/meet-our-team/index.html	(from https://freshmart-plc.co.uk/)
15:23:38	91949/91949	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Mar%202024%2020:23:28%20GMT	https://freshmart-plc.co.uk/hello-world/-/admin/	C:/My%20Web%20Sites/https___freshmart-plc.co.uk_/freshmart-plc.co.uk/hello-world/-/admin/index.html	(from https://freshmart-plc.co.uk/)
15:23:38	68365/68365	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Mar%202024%2020:23:28%20GMT	https://freshmart-plc.co.uk/executive-director/	C:/My%20Web%20Sites/https___freshmart-plc.co.uk_/freshmart-plc.co.uk/executive-director/index.html	(from https://freshmart-plc.co.uk/)
15:23:40	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2010%20Mar%202024%2020:23:33%20GMT	https://freshmart-plc.co.uk/?p=74	C:/My%20Web%20Sites/https___freshmart-plc.co.uk_/freshmart-plc.co.uk/index49a5.html	(from https://freshmart-plc.co.uk/about-freshmart-plc/)
